entry_rule,sl,tp,hold_d,train_n,train_mean,train_median,train_win,train_pf,train_worst,test_n,test_mean,test_median,test_win,test_pf,test_worst
delay 12h,,0.3,7,241,0.038415468627289534,0.15964796891699112,0.6514522821576764,1.1641705882602376,-1.0,161,0.0019374559814138153,0.030580667899904247,0.5341614906832298,1.0166031766119439,-1.0
delay 12h,0.1,0.5,1,241,0.038386544686657365,-0.05158183008982015,0.46887966804979253,1.3833159013828644,-0.21988246613901327,161,-0.013024311316886097,-0.002647411607188787,0.4658385093167702,0.7529567223876342,-0.2239574601339962
delay 12h,0.3,,1,241,0.03832165502876186,0.07165222247265511,0.6224066390041494,1.2811330548047686,-0.6832190851710421,161,-0.011321415174966137,-0.0008466858789623556,0.4968944099378882,0.8025926879459709,-0.6249578601339963
delay 8h,0.15,0.5,7,241,0.03821850930264901,-0.2961482020475987,0.4190871369294606,1.2274549881317631,-0.4816526095906168,161,-0.00862204167132428,-0.022421732355114708,0.453416149068323,0.9169981005217627,-0.3346214128146971
drop 30% (after 1h),0.2,0.5,7,188,0.038161171443701146,-0.3994000398686621,0.425531914893617,1.1680424534383462,-0.5768283474288853,24,-0.13077967342803498,-0.4019345283644092,0.375,0.4609972043112318,-0.43556467763830775
drop 30% (after 1h),0.3,0.2,7,188,0.03806008290829692,0.37170363959342856,0.648936170212766,1.1923779557665468,-0.7779488886106537,24,-0.06910968069305694,0.031300936243184106,0.5416666666666666,0.7070864849488109,-0.6360648776383081
delay 12h,0.15,,1,241,0.037910192106284615,0.017936430536487854,0.5352697095435685,1.321600951048351,-0.347546917438345,161,-0.013079406584647745,-0.0011093370418005376,0.4906832298136646,0.7704733912995311,-0.3242075601339959
drop 30% (after 1h),0.3,,7,188,0.037747627136990224,0.06376414400134597,0.5212765957446809,1.1419468442839273,-0.781623388907563,24,-0.04816374349643902,0.031300936243184106,0.5416666666666666,0.7958634555378123,-0.6360648776383081
drop 30% (after 1h),0.3,0.2,3,188,0.03770818440258397,0.2789215534368834,0.6329787234042553,1.2136575519935264,-0.7779488886106537,24,-0.09176907871695734,0.01320870137871246,0.5,0.6187037810725133,-0.6360648776383081
drop 10% (after 4h),0.45,0.2,7,227,0.03768659316506206,0.38827125489464764,0.6916299559471366,1.1784436243752794,-0.9620628364319158,104,0.0004361559573857652,0.05028179030074392,0.5865384615384616,1.0030014778339325,-0.9369696324679483
delay 24h,,0.3,1,241,0.03756189942890261,0.05702878373758094,0.6224066390041494,1.333643875236799,-1.0,161,0.003819274804445292,-0.000393132086543358,0.4906832298136646,1.082992417691083,-1.0
delay 12h,0.2,0.5,1,241,0.037470979115944214,0.04655573136964053,0.5809128630705395,1.293586772353324,-0.44779701743834494,161,-0.012464255515297291,-0.0008466858789623556,0.4968944099378882,0.7869116765807653,-0.42445766013399605
drop 20% (after 1h),0.3,0.3,1,211,0.0373630442028457,0.11578099626234485,0.5876777251184834,1.2215691511305138,-0.6295736827376427,49,-0.02380653931188502,0.04569138317376254,0.5306122448979592,0.8058057361979963,-0.6390635170305858
delay 24h,0.45,0.3,1,241,0.036928042786937385,0.05702878373758094,0.6224066390041494,1.3261771837268375,-0.9609742522769014,161,0.004392391766735103,-0.000393132086543358,0.4906832298136646,1.0966498403738447,-0.9077281690713404
delay 1h,0.3,0.5,7,241,0.03681596748537197,0.019720445928541067,0.5103734439834025,1.1451396948104309,-0.7078910161581436,161,0.008908131960427269,0.024655569783451577,0.5279503105590062,1.0767154306873041,-0.644657891628319
delay 24h,0.1,0.3,1,241,0.036789630212040396,0.004081348138043924,0.5145228215767634,1.434547728344657,-0.2483426294636195,161,0.008464755135623331,-0.0020415401595837244,0.4782608695652174,1.2062249101102833,-0.22345380421508904
delay 24h,,0.5,1,241,0.036702149227308564,0.05702878373758094,0.6224066390041494,1.3260071371229978,-1.0,161,0.0029608213684258673,-0.000393132086543358,0.4906832298136646,1.0643383197854948,-1.0
delay 24h,,,1,241,0.036702149227308564,0.05702878373758094,0.6224066390041494,1.3260071371229978,-1.0,161,0.0029608213684258673,-0.000393132086543358,0.4906832298136646,1.0643383197854948,-1.0
drop 30% (after 4h),0.3,0.1,3,188,0.03667738380659871,0.1980999999999998,0.7659574468085106,1.337633692343465,-0.722997045416352,24,-0.11593118668266106,0.07729481650171736,0.5833333333333334,0.4614468337220746,-0.6360648776383081
drop 10% (after 4h),0.45,0.3,1,227,0.03656510910331681,0.13180094759983457,0.6343612334801763,1.2245253251630088,-0.9466928432324838,104,-0.0048853342000883876,-0.003838895778015456,0.4807692307692308,0.9240124382475725,-0.9369696324679483
drop 30% (after 4h),0.2,0.3,7,188,0.03644619877763502,-0.11856031185894922,0.48404255319148937,1.1794721986250742,-0.5768283474288853,24,-0.09667757264987557,-0.4019345283644092,0.375,0.6015474513574335,-0.43556467763830775
delay 24h,0.1,0.2,1,241,0.036287537293819526,0.007706344529516913,0.5186721991701245,1.4329484730518398,-0.2483426294636195,161,0.00623855623482564,-0.0020415401595837244,0.4782608695652174,1.1519885310480544,-0.22345380421508904
delay 12h,0.1,,1,241,0.036188899124492996,-0.05158183008982015,0.46887966804979253,1.361370907467486,-0.21988246613901327,161,-0.013024311316886097,-0.002647411607188787,0.4658385093167702,0.7529567223876342,-0.2239574601339962
delay 24h,0.45,0.5,1,241,0.03606829258534334,0.05702878373758094,0.6224066390041494,1.318583201530637,-0.9609742522769014,161,0.0035339383307156787,-0.000393132086543358,0.4906832298136646,1.0777604989931402,-0.9077281690713404
delay 24h,0.45,,1,241,0.03606829258534334,0.05702878373758094,0.6224066390041494,1.318583201530637,-0.9609742522769014,161,0.0035339383307156787,-0.000393132086543358,0.4906832298136646,1.0777604989931402,-0.9077281690713404
delay 4h,0.1,0.5,7,241,0.03606679048626983,-0.2053379576044729,0.3236514522821577,1.2643167623864866,-0.4166787301088326,161,-0.016438299558382247,-0.06109463602954203,0.36645962732919257,0.8283839899224263,-0.23148292116828945
delay 0.5h,0.1,,7,241,0.0360430899213648,-0.20640054427633495,0.29045643153526973,1.2558809375737605,-0.2988844216187717,161,0.002052040008220241,-0.04865838379715613,0.38509316770186336,1.022074732341448,-0.2315090061538463
delay 4h,0.2,0.3,1,241,0.03595002013285571,0.05598563215023459,0.5892116182572614,1.2765882485638682,-0.5877151130642956,161,-0.004460160348122838,0.007048449612403007,0.5217391304347826,0.9170353776776036,-0.4362284812395515
drop 30% (after 1h),0.3,0.2,1,188,0.03588394967151103,0.1445533964387128,0.5957446808510638,1.2592643791213862,-0.722997045416352,24,-0.07497972516763896,-0.08156599241581233,0.375,0.6039719078617141,-0.6360648776383081
delay 12h,,,7,241,0.03584393115992787,0.10900767541256332,0.6265560165975104,1.1421041866726938,-1.0,161,0.007340418974411834,0.030580667899904247,0.5341614906832298,1.0629042795330446,-1.0
drop 30% (after 1h),0.1,0.3,7,188,0.03577391799486429,-0.20628462543072118,0.3351063829787234,1.2555470236840818,-0.3740901485755085,24,-0.08333024882763239,-0.20586563666335594,0.25,0.4581863345196512,-0.216290537926546
drop 30% (after 4h),0.3,0.2,7,188,0.035690688993878256,0.3745889543779334,0.6436170212765957,1.1799590813161682,-0.7779488886106537,24,-0.06911058099450064,0.031300936243184106,0.5416666666666666,0.7070837868406854,-0.6360648776383081
